order_id,user_id,product_id,quantity,amount,timestamp,status
1,452,58,8,334.22,2024-04-30 14:37:00,cancelled
2,392,68,1,339.48,2024-02-29 16:24:00,pending
3,587,52,4,487.89,2024-04-08 12:22:00,refunded
4,243,171,4,301.34,2024-08-01 12:37:00,completed
5,50,87,9,468.57,2024-01-15 05:43:00,completed
6,463,75,7,486.18,2024-01-08 16:28:00,pending
7,3,113,7,279.93,2024-05-02 03:36:00,cancelled
8,89,153,10,425.49,2024-05-25 18:54:00,refunded
9,938,108,6,193.75,2024-04-23 15:27:00,completed
10,908,12,2,290.11,2024-05-19 20:43:00,refunded
11,387,32,4,345.1,2024-07-12 09:48:00,completed
12,886,7,5,429.62,2024-11-15 19:18:00,refunded
13,744,116,7,142.36,2024-09-07 06:29:00,pending
14,337,57,10,104.99,2024-09-16 20:18:00,completed
15,573,140,6,412.16,2024-03-14 01:43:00,completed
16,668,55,6,70.84,2024-02-13 02:18:00,pending
17,829,57,3,96.67,2024-08-12 09:47:00,pending
18,821,73,7,105.08,2024-08-18 09:41:00,refunded
19,372,177,5,210.67,2024-07-07 16:21:00,pending
20,153,121,1,400.38,2024-01-17 22:30:00,completed
21,801,189,5,342.16,2024-12-02 07:05:00,completed
22,963,21,6,491.4,2024-01-01 14:21:00,pending
23,118,122,7,272.46,2024-04-20 08:02:00,pending
24,88,102,6,393.95,2024-02-04 04:31:00,pending
25,527,137,4,49.54,2024-04-13 08:30:00,pending
26,162,41,6,244.36,2024-05-07 22:49:00,pending
27,268,142,1,269.95,2024-11-23 04:59:00,refunded
28,837,71,7,218.58,2024-02-04 07:38:00,completed
29,361,16,7,472.99,2024-01-09 02:40:00,refunded
30,441,77,8,373.07,2024-03-05 10:02:00,pending
31,585,108,3,156.87,2024-03-07 01:32:00,cancelled
32,906,50,2,269.44,2024-08-04 11:11:00,completed
33,176,139,1,277.34,2024-08-22 06:36:00,refunded
34,111,199,6,168.84,2024-10-01 05:16:00,refunded
35,676,128,1,467.76,2024-03-19 07:00:00,completed
36,168,9,2,230.78,2024-08-20 07:41:00,refunded
37,907,134,1,442.71,2024-07-21 13:47:00,refunded
38,458,156,5,105.04,2024-10-17 07:06:00,completed
39,10,31,2,358.11,2024-02-13 22:08:00,cancelled
40,432,81,10,371.38,2024-06-28 06:37:00,cancelled
41,780,158,7,58.71,2024-03-24 12:19:00,cancelled
42,219,99,9,358.6,2024-05-22 03:16:00,pending
43,551,183,5,465.7,2024-06-14 00:44:00,refunded
44,257,38,6,198.27,2024-07-29 15:37:00,completed
45,629,116,9,88.86,2024-04-13 07:32:00,refunded
46,164,142,6,470.83,2024-03-06 20:49:00,refunded
47,305,187,5,472.32,2024-10-09 13:47:00,cancelled
48,2,194,7,149.62,2024-10-01 04:28:00,refunded
49,13,168,4,371.44,2024-10-08 03:36:00,cancelled
50,593,25,9,241.07,2024-03-30 09:59:00,completed
51,415,195,8,92.15,2024-08-20 03:08:00,pending
52,992,164,6,123.31,2024-11-28 16:12:00,cancelled
53,188,197,2,181.2,2024-05-30 13:40:00,cancelled
54,965,184,9,74.62,2024-02-28 01:18:00,completed
55,174,36,2,425.85,2024-11-19 22:32:00,refunded
56,68,191,9,437.69,2024-03-03 16:45:00,refunded
57,415,104,10,290.22,2024-08-26 05:03:00,pending
58,250,157,6,304.32,2024-11-15 08:31:00,refunded
59,788,200,8,126.68,2024-04-26 12:18:00,pending
60,850,187,6,418.22,2024-01-17 18:43:00,cancelled
61,853,37,6,250.49,2024-11-05 09:28:00,refunded
62,754,167,8,483.16,2024-09-12 18:45:00,cancelled
63,667,79,8,408.54,2024-04-22 03:52:00,refunded
64,809,158,5,484.89,2024-10-06 05:46:00,refunded
65,800,179,3,466.88,2024-04-11 22:57:00,pending
66,622,10,5,77.74,2024-01-01 00:42:00,cancelled
67,38,24,1,129.76,2024-07-27 09:18:00,completed
68,841,119,10,180.26,2024-07-28 07:14:00,refunded
69,718,116,10,194.67,2024-02-04 23:01:00,pending
70,962,167,2,366.15,2024-02-27 18:22:00,cancelled
71,271,37,2,442.07,2024-10-08 18:51:00,completed
72,214,122,5,160.14,2024-10-26 13:45:00,pending
73,156,153,4,64.65,2024-02-08 18:32:00,cancelled
74,733,112,3,472.72,2024-03-21 02:40:00,completed
75,758,33,7,389.37,2024-12-30 21:59:00,completed
76,461,71,9,279.04,2024-07-28 03:35:00,pending
77,321,196,1,363.71,2024-01-15 09:39:00,pending
78,321,89,3,311.19,2024-11-02 11:14:00,completed
79,345,5,6,417.24,2024-10-02 11:05:00,cancelled
80,43,17,2,347.45,2024-09-22 23:54:00,pending
81,144,6,10,103.76,2024-11-02 05:55:00,cancelled
82,988,199,9,498.29,2024-05-21 16:13:00,cancelled
83,402,64,7,114.08,2024-07-08 21:44:00,completed
84,898,64,8,223.31,2024-08-14 00:35:00,cancelled
85,273,107,2,375.37,2024-05-20 14:26:00,cancelled
86,449,124,8,459.26,2024-11-17 11:56:00,refunded
87,386,172,6,469.12,2024-05-31 15:16:00,pending
88,410,18,1,90.69,2024-10-26 23:38:00,cancelled
89,33,116,2,127.58,2024-01-09 00:37:00,cancelled
90,247,29,5,171.81,2024-02-19 09:10:00,pending
91,889,156,7,268.66,2024-01-28 09:40:00,refunded
92,771,133,5,129.9,2024-06-30 08:59:00,refunded
93,229,25,4,100.43,2024-08-27 23:11:00,completed
94,232,110,6,342.47,2024-01-22 02:21:00,refunded
95,700,119,2,149.64,2024-10-04 16:36:00,pending
96,577,157,8,422.49,2024-08-28 13:25:00,refunded
97,25,165,4,115.98,2024-09-27 20:33:00,cancelled
98,690,88,9,452.49,2024-01-28 21:03:00,completed
99,229,73,7,294.9,2024-07-23 13:05:00,cancelled
100,225,108,2,370.54,2024-02-08 14:01:00,completed
101,396,23,6,353.01,2024-11-20 06:12:00,completed
102,962,79,2,154.16,2024-10-20 21:12:00,pending
103,781,61,4,25.89,2024-10-15 15:27:00,pending
104,999,32,9,38.89,2024-02-22 18:12:00,refunded
105,527,105,4,258.46,2024-02-03 10:36:00,completed
106,311,172,9,237.07,2024-12-12 18:24:00,completed
107,722,184,10,176.51,2024-04-09 18:38:00,pending
108,849,33,2,26.43,2024-12-31 08:08:00,refunded
109,259,45,8,327.72,2024-05-22 08:00:00,cancelled
110,245,52,8,28.38,2024-12-21 16:04:00,refunded
111,109,97,6,31.79,2024-06-09 04:23:00,cancelled
112,897,133,9,499.85,2024-07-30 09:16:00,refunded
113,801,144,7,381.82,2024-02-29 09:09:00,refunded
114,970,59,7,85.39,2024-04-29 20:30:00,refunded
115,918,177,6,238.3,2024-08-22 01:42:00,cancelled
116,117,48,1,440.71,2024-02-06 02:42:00,cancelled
117,483,61,1,269.82,2024-02-03 18:12:00,completed
118,106,148,5,440.71,2024-01-17 23:09:00,completed
119,786,183,10,58.39,2024-01-26 02:18:00,refunded
120,240,181,3,39.87,2024-10-18 21:42:00,cancelled
121,212,94,7,306.96,2024-06-27 23:01:00,completed
122,721,172,6,323.34,2024-02-22 09:07:00,pending
123,979,20,8,381.09,2024-06-02 22:49:00,pending
124,140,149,9,104.85,2024-02-18 08:08:00,refunded
125,767,162,9,82.29,2024-05-24 19:08:00,cancelled
126,426,129,8,419.89,2024-04-05 20:14:00,pending
