product_id,category,price,brand,stock,created_at
1,Beauty,44.3,BetaWear,844,2022-04-14
2,Home,387.09,GammaBooks,229,2022-07-02
3,Toys,372.2,AlphaTech,346,2022-01-02
4,Clothing,270.9,DeltaHome,602,2022-04-08
5,Toys,304.49,GammaBooks,332,2022-03-12
6,Toys,223.6,AlphaTech,310,2022-12-12
7,Books,207.76,EpsilonSport,207,2022-07-25
8,Electronics,169.95,GammaBooks,915,2022-10-23
9,Sports,235.38,GammaBooks,405,2022-08-07
10,Sports,248.56,AlphaTech,693,2022-10-05
11,Clothing,193.63,GammaBooks,485,2022-08-30
12,Books,366.59,ZetaBeauty,826,2022-06-14
13,Food,209.59,BetaWear,152,2022-06-13
14,Food,184.49,GammaBooks,102,2022-12-18
15,Sports,234.32,GammaBooks,825,2022-11-10
16,Home,13.26,ZetaBeauty,792,2022-05-03
17,Toys,487.02,BetaWear,873,2022-09-14
18,Books,328.62,ZetaBeauty,460,2022-06-14
19,Books,259.42,ZetaBeauty,584,2022-06-10
20,Toys,77.27,BetaWear,355,2022-04-10
21,Sports,184.49,GammaBooks,603,2022-02-01
22,Clothing,375.29,ZetaBeauty,535,2022-11-25
23,Books,7.97,AlphaTech,139,2022-10-11
24,Toys,311.37,EpsilonSport,267,2022-08-25
25,Home,64.19,AlphaTech,612,2022-07-13
26,Sports,85.34,DeltaHome,831,2022-05-20
27,Toys,462.67,AlphaTech,539,2022-10-23
28,Books,410.83,GammaBooks,454,2022-05-22
29,Beauty,445.85,EpsilonSport,322,2022-05-28
30,Electronics,122.17,DeltaHome,903,2022-07-23
31,Toys,310.24,AlphaTech,425,2022-05-09
32,Food,407.14,BetaWear,816,2022-03-15
33,Electronics,363.15,ZetaBeauty,217,2022-03-05
34,Electronics,91.3,AlphaTech,985,2022-01-09
35,Food,13.04,DeltaHome,184,2022-06-21
36,Clothing,159.2,AlphaTech,897,2022-06-09
37,Toys,195.43,AlphaTech,82,2022-11-14
38,Clothing,165.9,AlphaTech,720,2022-03-02
39,Sports,115.26,ZetaBeauty,563,2022-04-13
40,Books,231.08,BetaWear,506,2022-04-29
41,Toys,459.95,EpsilonSport,888,2022-07-24
42,Clothing,201.06,AlphaTech,508,2022-06-24
43,Toys,183.43,BetaWear,295,2022-03-26
44,Sports,332.05,ZetaBeauty,420,2022-10-06
45,Toys,187.48,DeltaHome,199,2022-04-19
46,Food,396.11,DeltaHome,480,2022-01-04
47,Sports,318.22,DeltaHome,410,2022-01-03
48,Electronics,397.79,GammaBooks,136,2022-11-14
49,Food,103.31,GammaBooks,779,2022-08-24
50,Sports,458.89,AlphaTech,429,2022-02-06
51,Clothing,34.0,AlphaTech,828,2022-04-18
52,Electronics,219.68,EpsilonSport,302,2022-05-14
53,Beauty,227.57,DeltaHome,757,2022-02-06
54,Clothing,116.44,DeltaHome,908,2022-04-02
55,Clothing,97.56,EpsilonSport,47,2022-03-14
56,Food,118.61,ZetaBeauty,273,2022-08-20
57,Home,79.29,AlphaTech,676,2022-11-01
58,Electronics,126.18,ZetaBeauty,398,2022-04-06
59,Sports,150.24,DeltaHome,314,2022-06-04
60,Electronics,466.83,DeltaHome,264,2022-04-11
61,Beauty,159.78,AlphaTech,131,2022-08-08
62,Electronics,423.14,BetaWear,209,2022-08-16
63,Beauty,250.29,EpsilonSport,702,2022-09-24
64,Sports,96.76,GammaBooks,995,2022-04-08
65,Sports,390.95,BetaWear,469,2022-06-20
66,Sports,443.08,BetaWear,883,2022-06-05
67,Home,283.77,AlphaTech,272,2022-07-22
68,Food,491.64,DeltaHome,214,2022-10-04
69,Electronics,18.35,DeltaHome,272,2022-06-09
70,Beauty,133.46,AlphaTech,276,2022-03-04
71,Toys,229.9,BetaWear,359,2022-08-02
72,Books,458.82,DeltaHome,315,2022-09-19
73,Clothing,228.92,AlphaTech,891,2022-12-27
74,Clothing,209.82,GammaBooks,198,2022-11-25
75,Food,464.05,BetaWear,398,2022-03-23
76,Sports,340.67,EpsilonSport,465,2022-11-21
77,Food,33.67,AlphaTech,275,2022-07-06
78,Sports,247.7,BetaWear,753,2022-12-23
79,Electronics,459.65,EpsilonSport,765,2022-08-23
80,Beauty,363.88,GammaBooks,184,2022-04-25
81,Food,297.12,DeltaHome,291,2022-07-03
82,Toys,233.29,GammaBooks,948,2022-10-22
83,Toys,91.18,GammaBooks,798,2022-07-02
84,Clothing,220.15,GammaBooks,132,2022-01-20
85,Clothing,128.9,DeltaHome,558,2022-07-22
86,Food,281.83,BetaWear,154,2022-12-12
